priority_tier,section,page_type,title,url,date,target_intent,action,owner,status,notes,clicks_before_7d,impressions_before_7d,ctr_before,position_before,clicks_after_7d,impressions_after_7d,ctr_after,position_after,delta_clicks_pct,delta_ctr_pct
P1,learn,article,AI Operator Skill Stack (2026): The Fastest Path from Beginner to Paid Delivery,https://aibusiness.vc/learn/ai-operator-skill-stack-2026,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week4 content quality sprint shipped 2026-04-30,,,,,,,,,,
P1,learn,article,Highest Paying AI Jobs in 2026: What Actually Pays and Why,https://aibusiness.vc/learn/highest-paying-ai-jobs-2026,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week4 content quality sprint shipped 2026-04-30,,,,,,,,,,
P1,learn,article,NotebookLM for Business: How Teams Turn Document Chaos into Decision Speed,https://aibusiness.vc/learn/notebookml-business-guide,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,todo,Top recency candidate,,,,,,,,,,
P1,learn,article,"AI Certifications That Pay $150K+: Google, AWS, Microsoft, and More",https://aibusiness.vc/learn/ai-certifications-high-salary,2026-04-04,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,todo,Top recency candidate,,,,,,,,,,
P1,learn,article,How to Build an AI SaaS Product in 30 Days (With $0 Budget),https://aibusiness.vc/learn/build-ai-saas-zero-budget,2026-04-04,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,todo,Top recency candidate,,,,,,,,,,
P2,learn,article,"Machine Learning Engineer Roadmap 2026: Skills, Salary $180K-$350K, and How to Get Hired",https://aibusiness.vc/learn/ml-engineer-roadmap-2026,2026-04-04,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,learn,article,Prompt Engineering Career Guide: How to Earn $100K+ Writing AI Prompts,https://aibusiness.vc/learn/prompt-engineering-career-guide,2026-04-04,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,learn,article,AI Certifications That Add $15-25K to Your Salary (And Which Are Worthless),https://aibusiness.vc/learn/ai-certifications-worth-getting,2026-03-30,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,learn,article,AI Courses That Actually Lead to $100K+ Jobs (Free and Paid),https://aibusiness.vc/learn/best-ai-courses-free-paid,2026-03-30,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,learn,article,Learn Prompt Engineering: The Skill That Pays $101K-$192K/Year,https://aibusiness.vc/learn/learn-prompt-engineering,2026-03-30,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P1,materials,article,50 AI Business Ideas You Can Start This Weekend (With Profit Estimates),https://aibusiness.vc/materials/50-ai-business-ideas-weekend,2026-04-04,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week4 content quality sprint shipped 2026-04-30,,,,,,,,,,
P1,materials,article,AI Freelancer Rate Card 2026: What to Charge for AI Services,https://aibusiness.vc/materials/ai-freelancer-rate-card,2026-04-04,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week4 content quality sprint shipped 2026-04-30,,,,,,,,,,
P1,materials,article,AI Tool Stack for Solopreneurs: The $97/Month Setup That Replaces a $200K Team,https://aibusiness.vc/materials/ai-tool-stack-solopreneurs,2026-04-04,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,todo,Top recency candidate,,,,,,,,,,
P1,materials,article,"Free AI Resources: 100+ Courses, Tools, and Datasets Worth $50,000+",https://aibusiness.vc/materials/free-ai-resources,2026-04-04,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,todo,Top recency candidate,,,,,,,,,,
P1,materials,article,7 AI Books That Change How You Think About Technology and Wealth,https://aibusiness.vc/materials/ai-books-must-read,2026-03-30,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,todo,Top recency candidate,,,,,,,,,,
P2,materials,article,10 AI Podcasts That Will Make You Smarter About AI and Money,https://aibusiness.vc/materials/ai-podcasts-worth-listening,2026-03-30,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,materials,article,"12 AI YouTube Channels Worth Your Time: Learn, Build, Earn",https://aibusiness.vc/materials/ai-youtube-channels,2026-03-30,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
